        soln	      dist_x	        time	          pH	          pe	        C(4)	        N(3)	       Fe(2)	       Fe(3)	       Mn(2)	        S(6)	           P	          Cd	          Zn	          Pb	           C	      m_CaX2	      m_MgX2	       m_NaX	        m_KX	      m_AlX3	      m_CdX2	      m_ZnX2	      m_PbX2	
           1	           0	           0	     7.48507	     4.10556	 1.0000e-005	 4.6929e-036	 7.3316e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8271e-005	 2.4500e-004	 9.7161e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9480e-009	 9.8407e-004	 3.6625e-003	 1.2211e-003	
           2	    -0.10069	           0	     7.48507	     4.10556	 1.0000e-005	 4.6930e-036	 7.3316e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8271e-005	 2.4500e-004	 9.7161e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9444e-009	 9.8289e-004	 3.6581e-003	 1.2196e-003	
           3	   -0.201379	           0	     7.48507	     4.10556	 1.0000e-005	 4.6930e-036	 7.3316e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8272e-005	 2.4500e-004	 9.7161e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9409e-009	 9.8171e-004	 3.6537e-003	 1.2181e-003	
           4	   -0.302069	           0	     7.48507	     4.10556	 1.0000e-005	 4.6930e-036	 7.3316e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8272e-005	 2.4500e-004	 9.7162e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9374e-009	 9.8054e-004	 3.6493e-003	 1.2167e-003	
           5	   -0.402759	           0	     7.48507	      4.1055	 1.0000e-005	 4.6913e-036	 7.3324e-004	 6.0300e-003	 1.9640e-004	 5.0000e-004	 9.0000e-005	 8.8261e-005	 2.4498e-004	 9.7147e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.1190e-009	 1.0411e-003	 3.8746e-003	 1.2917e-003	
           6	   -0.503448	           0	     7.48507	      4.1055	 1.0000e-005	 4.6913e-036	 7.3324e-004	 6.0300e-003	 1.9640e-004	 5.0000e-004	 9.0000e-005	 8.8261e-005	 2.4498e-004	 9.7147e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.1143e-009	 1.0395e-003	 3.8688e-003	 1.2898e-003	
           7	   -0.604138	           0	     7.48507	      4.1055	 1.0000e-005	 4.6914e-036	 7.3323e-004	 6.0300e-003	 1.9640e-004	 5.0000e-004	 9.0000e-005	 8.8261e-005	 2.4498e-004	 9.7148e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.1098e-009	 1.0380e-003	 3.8632e-003	 1.2879e-003	
           8	   -0.704828	           0	     7.48507	     4.10553	 1.0000e-005	 4.6922e-036	 7.3319e-004	 6.0300e-003	 1.9642e-004	 5.0000e-004	 9.0000e-005	 8.8267e-005	 2.4499e-004	 9.7155e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.0177e-009	 1.0073e-003	 3.7489e-003	 1.2499e-003	
           9	   -0.805517	           0	     7.48507	     4.10554	 1.0000e-005	 4.6923e-036	 7.3319e-004	 6.0300e-003	 1.9642e-004	 5.0000e-004	 9.0000e-005	 8.8267e-005	 2.4499e-004	 9.7155e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.0114e-009	 1.0052e-003	 3.7411e-003	 1.2473e-003	
          10	   -0.906207	           0	     7.48507	     4.10554	 1.0000e-005	 4.6924e-036	 7.3319e-004	 6.0300e-003	 1.9642e-004	 5.0000e-004	 9.0000e-005	 8.8268e-005	 2.4499e-004	 9.7156e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.0052e-009	 1.0031e-003	 3.7334e-003	 1.2447e-003	
          11	     -1.0069	           0	     7.48507	     4.10554	 1.0000e-005	 4.6924e-036	 7.3319e-004	 6.0300e-003	 1.9642e-004	 5.0000e-004	 9.0000e-005	 8.8268e-005	 2.4499e-004	 9.7156e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9991e-009	 1.0011e-003	 3.7259e-003	 1.2422e-003	
          12	    -1.10759	           0	     7.48507	     4.10554	 1.0000e-005	 4.6925e-036	 7.3318e-004	 6.0300e-003	 1.9642e-004	 5.0000e-004	 9.0000e-005	 8.8268e-005	 2.4500e-004	 9.7157e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9932e-009	 9.9915e-004	 3.7186e-003	 1.2398e-003	
          13	    -1.20828	           0	     7.48507	     4.10554	 1.0000e-005	 4.6925e-036	 7.3318e-004	 6.0300e-003	 1.9642e-004	 5.0000e-004	 9.0000e-005	 8.8269e-005	 2.4500e-004	 9.7157e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9874e-009	 9.9722e-004	 3.7114e-003	 1.2374e-003	
          14	    -1.30897	           0	     7.48507	     4.10555	 1.0000e-005	 4.6926e-036	 7.3318e-004	 6.0300e-003	 1.9642e-004	 5.0000e-004	 9.0000e-005	 8.8269e-005	 2.4500e-004	 9.7158e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9818e-009	 9.9534e-004	 3.7044e-003	 1.2350e-003	
          15	    -1.40965	           0	     7.48507	     4.10555	 1.0000e-005	 4.6926e-036	 7.3318e-004	 6.0300e-003	 1.9642e-004	 5.0000e-004	 9.0000e-005	 8.8269e-005	 2.4500e-004	 9.7158e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9763e-009	 9.9350e-004	 3.6976e-003	 1.2328e-003	
          16	    -1.51034	           0	     7.48507	     4.10555	 1.0000e-005	 4.6927e-036	 7.3317e-004	 6.0300e-003	 1.9642e-004	 5.0000e-004	 9.0000e-005	 8.8270e-005	 2.4500e-004	 9.7159e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9709e-009	 9.9172e-004	 3.6909e-003	 1.2306e-003	
          17	    -1.61103	           0	     7.48507	     4.10555	 1.0000e-005	 4.6928e-036	 7.3317e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8270e-005	 2.4500e-004	 9.7159e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9657e-009	 9.8998e-004	 3.6845e-003	 1.2284e-003	
          18	    -1.71172	           0	     7.48507	     4.10555	 1.0000e-005	 4.6928e-036	 7.3317e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8270e-005	 2.4500e-004	 9.7160e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9607e-009	 9.8830e-004	 3.6782e-003	 1.2263e-003	
          19	    -1.81241	           0	     7.48507	     4.10555	 1.0000e-005	 4.6929e-036	 7.3317e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8271e-005	 2.4500e-004	 9.7160e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9558e-009	 9.8667e-004	 3.6721e-003	 1.2243e-003	
          20	     -1.9131	           0	     7.48507	     4.10556	 1.0000e-005	 4.6929e-036	 7.3316e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8271e-005	 2.4500e-004	 9.7160e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9510e-009	 9.8509e-004	 3.6663e-003	 1.2223e-003	
          21	    -2.01379	           0	     7.48507	     4.10556	 1.0000e-005	 4.6930e-036	 7.3316e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8271e-005	 2.4500e-004	 9.7161e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9465e-009	 9.8358e-004	 3.6606e-003	 1.2205e-003	
          22	    -2.11448	           0	     7.48507	     4.10556	 1.0000e-005	 4.6930e-036	 7.3316e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8271e-005	 2.4500e-004	 9.7161e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9421e-009	 9.8212e-004	 3.6552e-003	 1.2186e-003	
          23	    -2.21517	           0	     7.48507	     4.10556	 1.0000e-005	 4.6930e-036	 7.3316e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8272e-005	 2.4500e-004	 9.7162e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9379e-009	 9.8072e-004	 3.6500e-003	 1.2169e-003	
          24	    -2.31586	           0	     7.48507	     4.10556	 1.0000e-005	 4.6931e-036	 7.3316e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8272e-005	 2.4500e-004	 9.7162e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9339e-009	 9.7939e-004	 3.6450e-003	 1.2153e-003	
          25	    -2.41655	           0	     7.48507	     4.10556	 1.0000e-005	 4.6931e-036	 7.3315e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8272e-005	 2.4500e-004	 9.7162e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9301e-009	 9.7812e-004	 3.6403e-003	 1.2137e-003	
          26	    -2.51724	           0	     7.48507	     4.10556	 1.0000e-005	 4.6932e-036	 7.3315e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8272e-005	 2.4501e-004	 9.7163e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9265e-009	 9.7692e-004	 3.6359e-003	 1.2122e-003	
          27	    -2.61793	           0	     7.48507	     4.10556	 1.0000e-005	 4.6932e-036	 7.3315e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8273e-005	 2.4501e-004	 9.7163e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9231e-009	 9.7580e-004	 3.6317e-003	 1.2108e-003	
          28	    -2.71862	           0	     7.48507	     4.10557	 1.0000e-005	 4.6932e-036	 7.3315e-004	 6.0300e-003	 1.9643e-004	 5.0000e-004	 9.0000e-005	 8.8273e-005	 2.4501e-004	 9.7163e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.9200e-009	 9.7474e-004	 3.6277e-003	 1.2095e-003	
          29	    -2.81931	           0	     7.48507	     4.10541	 1.0000e-005	 4.6886e-036	 7.3336e-004	 6.0300e-003	 1.9636e-004	 5.0000e-004	 9.0000e-005	 8.8244e-005	 2.4494e-004	 9.7125e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.4351e-009	 1.1464e-003	 4.2668e-003	 1.4224e-003	
          30	       -2.92	           0	     7.48507	     4.10541	 1.0000e-005	 4.6886e-036	 7.3336e-004	 6.0300e-003	 1.9636e-004	 5.0000e-004	 9.0000e-005	 8.8244e-005	 2.4494e-004	 9.7125e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.4334e-009	 1.1458e-003	 4.2646e-003	 1.4216e-003	
          31	    -3.02069	           0	     7.48507	     4.10541	 1.0000e-005	 4.6886e-036	 7.3336e-004	 6.0300e-003	 1.9636e-004	 5.0000e-004	 9.0000e-005	 8.8244e-005	 2.4494e-004	 9.7125e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.4318e-009	 1.1453e-003	 4.2626e-003	 1.4210e-003	
          32	    -3.12138	           0	     7.48507	     4.10541	 1.0000e-005	 4.6886e-036	 7.3336e-004	 6.0300e-003	 1.9636e-004	 5.0000e-004	 9.0000e-005	 8.8244e-005	 2.4494e-004	 9.7125e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.4302e-009	 1.1447e-003	 4.2607e-003	 1.4203e-003	
          33	    -3.22207	           0	     7.48507	     4.10541	 1.0000e-005	 4.6886e-036	 7.3336e-004	 6.0300e-003	 1.9636e-004	 5.0000e-004	 9.0000e-005	 8.8244e-005	 2.4494e-004	 9.7125e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.4288e-009	 1.1443e-003	 4.2589e-003	 1.4197e-003	
          34	    -3.32276	           0	     7.48507	     4.10541	 1.0000e-005	 4.6886e-036	 7.3336e-004	 6.0300e-003	 1.9636e-004	 5.0000e-004	 9.0000e-005	 8.8244e-005	 2.4494e-004	 9.7125e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.4275e-009	 1.1438e-003	 4.2573e-003	 1.4192e-003	
          35	    -3.42345	           0	     7.48507	     4.10541	 1.0000e-005	 4.6887e-036	 7.3336e-004	 6.0300e-003	 1.9636e-004	 5.0000e-004	 9.0000e-005	 8.8245e-005	 2.4494e-004	 9.7125e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.4264e-009	 1.1435e-003	 4.2559e-003	 1.4187e-003	
          36	    -3.52414	           0	     7.48507	     4.10541	 1.0000e-005	 4.6887e-036	 7.3336e-004	 6.0300e-003	 1.9636e-004	 5.0000e-004	 9.0000e-005	 8.8245e-005	 2.4494e-004	 9.7125e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.4254e-009	 1.1432e-003	 4.2547e-003	 1.4184e-003	
          37	    -3.62483	           0	     7.48507	     4.10541	 1.0000e-005	 4.6887e-036	 7.3336e-004	 6.0300e-003	 1.9636e-004	 5.0000e-004	 9.0000e-005	 8.8245e-005	 2.4494e-004	 9.7125e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.4248e-009	 1.1429e-003	 4.2539e-003	 1.4181e-003	
          38	    -3.72552	           0	     7.48507	     4.10541	 1.0000e-005	 4.6887e-036	 7.3336e-004	 6.0300e-003	 1.9636e-004	 5.0000e-004	 9.0000e-005	 8.8245e-005	 2.4494e-004	 9.7125e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.4247e-009	 1.1429e-003	 4.2538e-003	 1.4181e-003	
          39	    -3.82621	           0	     7.48507	     4.10541	 1.0000e-005	 4.6887e-036	 7.3336e-004	 6.0300e-003	 1.9636e-004	 5.0000e-004	 9.0000e-005	 8.8245e-005	 2.4494e-004	 9.7125e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.4247e-009	 1.1429e-003	 4.2538e-003	 1.4181e-003	
          40	     -3.9269	           0	     7.48507	     4.10541	 1.0000e-005	 4.6887e-036	 7.3336e-004	 6.0300e-003	 1.9636e-004	 5.0000e-004	 9.0000e-005	 8.8245e-005	 2.4494e-004	 9.7125e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.4247e-009	 1.1429e-003	 4.2538e-003	 1.4181e-003	
          41	    -4.02759	           0	     7.48507	     4.10541	 1.0000e-005	 4.6887e-036	 7.3336e-004	 6.0300e-003	 1.9636e-004	 5.0000e-004	 9.0000e-005	 8.8245e-005	 2.4494e-004	 9.7125e-005	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 3.4247e-009	 1.1429e-003	 4.2538e-003	 1.4181e-003	
          42	    -4.12828	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          43	    -4.22897	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          44	    -4.32966	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          45	    -4.43035	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          46	    -4.53103	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          47	    -4.63172	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          48	    -4.73241	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          49	     -4.8331	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          50	    -4.93379	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          51	    -5.03448	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          52	    -5.13517	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          53	    -5.23586	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          54	    -5.33655	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          55	    -5.43724	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          56	    -5.53793	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          57	    -5.63862	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          58	    -5.73931	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          59	       -5.84	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          60	    -5.94069	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          61	    -6.04138	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          62	    -6.14207	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          63	    -6.24276	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          64	    -6.34345	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          65	    -6.44414	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          66	    -6.54483	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          67	    -6.64552	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          68	    -6.74621	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          69	     -6.8469	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
          70	    -6.94759	           0	     7.48473	     4.11463	 1.0000e-005	 4.9807e-036	 7.2000e-004	 6.0300e-003	 2.0000e-004	 5.0000e-004	 9.0000e-005	 9.0000e-005	 2.5000e-004	 1.0000e-004	 1.0000e-005	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	 0.0000e+000	
